# step  beta  Energy
0  0.500000  -122.431897
1  0.500000  -121.723483
2  0.500000  -123.251543
3  0.500000  -124.585886
4  0.500000  -124.585886
5  0.500000  -124.621057
6  0.500000  -130.959126
7  0.500000  -130.959126
8  0.500000  -130.959126
9  0.500000  -131.740674
10  0.500000  -133.159444
11  0.500000  -132.354355
12  0.500000  -132.470496
13  0.500000  -131.961472
14  0.500000  -132.516118
15  0.500000  -130.943071
16  0.500000  -128.819889
17  0.500000  -129.181609
18  0.500000  -127.863872
19  0.500000  -129.985784
20  0.500000  -132.228887
21  0.500000  -132.228887
22  0.500000  -131.648755
23  0.500000  -131.648755
24  0.500000  -131.039342
25  0.500000  -131.223466
26  0.500000  -131.223466
27  0.500000  -133.490726
28  0.500000  -133.490726
29  0.500000  -132.845927
30  0.500000  -129.890646
31  0.500000  -128.154264
32  0.500000  -129.161018
33  0.500000  -129.965286
34  0.500000  -129.965286
35  0.500000  -130.219107
36  0.500000  -130.226232
37  0.500000  -130.226232
38  0.500000  -130.226232
39  0.500000  -132.627449
40  0.500000  -134.194080
41  0.500000  -136.495715
42  0.500000  -140.647876
43  0.500000  -138.470206
44  0.500000  -136.717942
45  0.500000  -136.195687
46  0.500000  -136.195687
47  0.500000  -137.588728
48  0.500000  -137.759117
49  0.500000  -137.007916
50  0.500000  -139.814293
51  0.500000  -139.814293
52  0.500000  -139.614015
53  0.500000  -139.312483
54  0.500000  -139.686663
55  0.500000  -136.800438
56  0.500000  -136.800438
57  0.500000  -136.083045
58  0.500000  -136.083045
59  0.500000  -137.159673
60  0.500000  -139.811285
61  0.500000  -142.665541
62  0.500000  -142.507686
63  0.500000  -142.507686
64  0.500000  -141.878125
65  0.500000  -141.561683
66  0.500000  -141.561683
67  0.500000  -141.726795
68  0.500000  -141.726795
69  0.500000  -142.219240
70  0.500000  -141.883639
71  0.500000  -141.883639
72  0.500000  -142.084591
73  0.500000  -141.540643
74  0.500000  -141.057687
75  0.500000  -142.209426
76  0.500000  -145.106249
77  0.500000  -146.795544
78  0.500000  -145.338082
79  0.500000  -145.160948
80  0.500000  -144.656320
81  0.500000  -145.024156
82  0.500000  -145.024156
83  0.500000  -145.482433
84  0.500000  -146.924721
85  0.500000  -146.924721
86  0.500000  -147.056197
87  0.500000  -146.650767
88  0.500000  -145.717156
89  0.500000  -145.717156
90  0.500000  -146.970863
91  0.500000  -146.970863
92  0.500000  -147.684121
93  0.500000  -148.341705
94  0.500000  -147.026679
95  0.500000  -146.823024
96  0.500000  -146.796013
97  0.500000  -147.276644
98  0.500000  -146.017385
99  0.500000  -146.862683
100  0.500000  -150.475886
101  0.500000  -150.229050
102  0.500000  -150.256745
103  0.500000  -149.784108
104  0.500000  -150.631226
105  0.500000  -150.403876
106  0.500000  -150.666853
107  0.500000  -151.398698
108  0.500000  -151.398698
109  0.500000  -151.418721
110  0.500000  -151.417136
111  0.500000  -151.123143
112  0.500000  -151.149126
113  0.500000  -151.027015
114  0.500000  -151.512690
115  0.500000  -151.512690
116  0.500000  -149.722855
117  0.500000  -149.757361
118  0.500000  -150.522008
119  0.500000  -151.193359
120  0.500000  -151.189454
121  0.500000  -152.283561
122  0.500000  -156.935578
123  0.500000  -156.578184
124  0.500000  -153.919333
125  0.500000  -153.919333
126  0.500000  -153.859588
127  0.500000  -153.859588
128  0.500000  -153.835403
129  0.500000  -153.835403
130  0.500000  -153.923865
131  0.500000  -153.923865
132  0.500000  -152.431672
133  0.500000  -152.589184
134  0.500000  -152.263860
135  0.500000  -153.846249
136  0.500000  -154.250692
137  0.500000  -153.906493
138  0.500000  -153.650270
139  0.500000  -153.595935
140  0.500000  -154.866388
141  0.500000  -154.866388
142  0.500000  -155.735231
143  0.500000  -155.735231
144  0.500000  -155.735231
145  0.500000  -155.624626
146  0.500000  -154.975761
147  0.500000  -154.975761
148  0.500000  -157.219180
149  0.500000  -159.380799
150  0.500000  -159.604153
151  0.500000  -161.316389
152  0.500000  -161.316389
153  0.500000  -158.660474
154  0.500000  -157.989923
155  0.500000  -156.712452
156  0.500000  -156.712452
157  0.500000  -158.022557
158  0.500000  -159.181231
159  0.500000  -161.378385
160  0.500000  -159.915829
161  0.500000  -160.095031
162  0.500000  -161.682309
163  0.500000  -162.981171
164  0.500000  -165.639489
165  0.500000  -165.639489
166  0.500000  -165.409911
167  0.500000  -165.944188
168  0.500000  -165.944188
169  0.500000  -168.700190
170  0.500000  -170.298011
171  0.500000  -168.680164
172  0.500000  -166.847398
173  0.500000  -166.847398
174  0.500000  -166.541808
175  0.500000  -170.615849
176  0.500000  -170.211497
177  0.500000  -170.952990
178  0.500000  -171.256354
179  0.500000  -171.058864
180  0.500000  -172.258729
181  0.500000  -172.846644
182  0.500000  -172.846644
183  0.500000  -176.551516
184  0.500000  -176.690801
185  0.500000  -175.301614
186  0.500000  -174.052554
187  0.500000  -174.052554
188  0.500000  -172.589260
189  0.500000  -172.589260
190  0.500000  -171.662561
191  0.500000  -171.853484
192  0.500000  -176.169023
193  0.500000  -175.633244
194  0.500000  -176.356491
195  0.500000  -177.589799
196  0.500000  -177.254453
197  0.500000  -177.254453
198  0.500000  -177.211181
199  0.500000  -177.211181
200  0.500000  -177.461843
201  0.500000  -178.430905
202  0.500000  -177.213376
203  0.500000  -180.051814
204  0.500000  -180.110435
205  0.500000  -180.217611
206  0.500000  -181.021502
207  0.500000  -180.903071
208  0.500000  -180.903071
209  0.500000  -180.522597
210  0.500000  -181.668998
211  0.500000  -181.668998
212  0.500000  -182.232557
213  0.500000  -182.232557
214  0.500000  -182.818499
215  0.500000  -183.594311
216  0.500000  -186.594331
217  0.500000  -185.277250
218  0.500000  -185.293122
219  0.500000  -186.383526
220  0.500000  -186.655176
221  0.500000  -185.899279
222  0.500000  -185.899279
223  0.500000  -185.621227
224  0.500000  -188.498781
225  0.500000  -186.985729
226  0.500000  -182.905468
227  0.500000  -182.905468
228  0.500000  -183.093009
229  0.500000  -186.886364
230  0.500000  -187.347009
231  0.500000  -187.347009
232  0.500000  -187.347009
233  0.500000  -187.304008
234  0.500000  -186.842469
235  0.500000  -187.364720
236  0.500000  -187.156945
237  0.500000  -188.444945
238  0.500000  -189.187466
239  0.500000  -195.401135
240  0.500000  -194.918019
241  0.500000  -199.856070
242  0.500000  -199.856070
243  0.500000  -197.297885
244  0.500000  -195.548828
245  0.500000  -196.511182
246  0.500000  -196.511182
247  0.500000  -196.378132
248  0.500000  -201.556051
249  0.500000  -200.427284
250  0.500000  -199.244555
251  0.500000  -199.322997
252  0.500000  -198.496136
253  0.500000  -198.496136
254  0.500000  -198.496136
255  0.500000  -198.496136
256  0.500000  -197.046401
257  0.500000  -196.052005
258  0.500000  -197.450728
259  0.500000  -197.922885
260  0.500000  -199.305706
261  0.500000  -199.305706
262  0.500000  -200.328801
263  0.500000  -202.417995
264  0.500000  -200.114430
265  0.500000  -202.726178
266  0.500000  -203.422666
267  0.500000  -204.694888
268  0.500000  -205.659432
269  0.500000  -205.745148
270  0.500000  -206.261089
271  0.500000  -206.261089
272  0.500000  -206.641030
273  0.500000  -211.068870
274  0.500000  -212.479558
275  0.500000  -212.479558
276  0.500000  -211.260698
277  0.500000  -211.239267
278  0.500000  -211.927857
279  0.500000  -208.614971
280  0.500000  -209.142741
281  0.500000  -208.376671
282  0.500000  -207.921916
283  0.500000  -204.313547
284  0.500000  -208.323758
285  0.500000  -207.123871
286  0.500000  -204.832241
287  0.500000  -207.119264
288  0.500000  -212.955210
289  0.500000  -212.955210
290  0.500000  -213.039686
291  0.500000  -212.760105
292  0.500000  -212.760105
293  0.500000  -212.888781
294  0.500000  -212.704082
295  0.500000  -212.704082
296  0.500000  -213.577002
297  0.500000  -213.577002
298  0.500000  -211.985514
299  0.500000  -210.621917
300  0.500000  -208.375900
301  0.500000  -209.156043
302  0.500000  -209.096701
303  0.500000  -212.094425
304  0.500000  -212.754937
305  0.500000  -215.042500
306  0.500000  -215.652143
307  0.500000  -214.161372
308  0.500000  -214.493769
309  0.500000  -216.324367
310  0.500000  -216.324367
311  0.500000  -215.360491
312  0.500000  -216.168103
313  0.500000  -218.354828
314  0.500000  -219.543467
315  0.500000  -221.666166
316  0.500000  -221.673349
317  0.500000  -221.673349
318  0.500000  -221.389106
319  0.500000  -221.845822
320  0.500000  -221.857781
321  0.500000  -221.554442
322  0.500000  -221.554442
323  0.500000  -220.748386
324  0.500000  -220.918111
325  0.500000  -220.918111
326  0.500000  -225.554447
327  0.500000  -227.153524
328  0.500000  -228.147467
329  0.500000  -227.762014
330  0.500000  -227.267185
331  0.500000  -227.637245
332  0.500000  -228.612366
333  0.500000  -230.805064
334  0.500000  -230.805064
335  0.500000  -232.611477
336  0.500000  -231.646093
337  0.500000  -230.931362
338  0.500000  -230.426239
339  0.500000  -231.153965
340  0.500000  -232.295459
341  0.500000  -235.610820
342  0.500000  -236.535840
343  0.500000  -237.933999
344  0.500000  -238.523109
345  0.500000  -239.817498
346  0.500000  -242.002204
347  0.500000  -241.076001
348  0.500000  -245.224502
349  0.500000  -244.576652
350  0.500000  -244.588970
351  0.500000  -247.896883
352  0.500000  -250.468620
353  0.500000  -252.419874
354  0.500000  -251.744902
355  0.500000  -250.612146
356  0.500000  -250.612146
357  0.500000  -252.082472
358  0.500000  -253.874774
359  0.500000  -253.427871
360  0.500000  -253.793657
361  0.500000  -254.409068
362  0.500000  -254.063279
363  0.500000  -254.063279
364  0.500000  -254.063279
365  0.500000  -254.146237
366  0.500000  -254.598710
367  0.500000  -254.557295
368  0.500000  -254.557295
369  0.500000  -254.557295
370  0.500000  -255.163219
371  0.500000  -261.456352
372  0.500000  -264.169921
373  0.500000  -265.554708
374  0.500000  -267.342149
375  0.500000  -269.090783
376  0.500000  -269.810802
377  0.500000  -269.792912
378  0.500000  -272.454719
379  0.500000  -269.824103
380  0.500000  -272.044492
381  0.500000  -272.044492
382  0.500000  -272.796889
383  0.500000  -276.103875
384  0.500000  -275.382960
385  0.500000  -278.595356
386  0.500000  -278.595356
387  0.500000  -280.302082
388  0.500000  -280.302082
389  0.500000  -281.536460
390  0.500000  -281.745749
391  0.500000  -281.745749
392  0.500000  -281.013479
