0.056486	0.050253	50.000000	256	1.000000
200.000000	243.072063	0.065000	0.000000	0.280566	0.000000
400.000000	242.172636	0.095000	0.000000	0.297344	0.000000
600.000000	241.067774	0.095000	0.000000	0.324883	0.000000
800.000000	240.417847	0.050000	0.000000	0.353281	0.000000
1000.000000	239.017520	0.130000	0.000000	0.381816	0.000000
1200.000000	238.097483	0.115000	0.000000	0.404219	0.000000
1400.000000	236.682796	0.155000	0.000000	0.429863	0.000000
1600.000000	235.301889	0.160000	0.000000	0.460273	1.000000
1800.000000	234.502911	0.125000	0.000000	0.448105	1.000000
2000.000000	232.845007	0.170000	0.000000	0.489395	2.000000
2200.000000	231.006338	0.160000	0.000000	0.476016	3.000000
2400.000000	229.264817	0.195000	0.000000	0.462988	4.000000
2600.000000	228.146379	0.195000	0.000000	0.450957	4.000000
2800.000000	226.200087	0.200000	0.000000	0.441387	4.000000
3000.000000	224.921094	0.210000	0.000000	0.437480	4.000000
3200.000000	224.080846	0.275000	0.000000	0.426504	4.000000
3400.000000	222.753892	0.250000	0.000000	0.423828	4.000000
3600.000000	221.501038	0.275000	0.000000	0.407988	4.000000
3800.000000	220.361994	0.250000	0.000000	0.399707	4.000000
4000.000000	219.698883	0.290000	0.000000	0.398535	4.000000
4200.000000	218.672110	0.335000	0.000000	0.395469	4.000000
4400.000000	217.993307	0.290000	0.000000	0.390820	4.000000
4600.000000	216.814306	0.445000	0.000000	0.377090	4.000000
4800.000000	216.527927	0.365000	0.000000	0.376367	4.000000
5000.000000	215.950709	0.450000	1.000000	0.375195	0.000000
5200.000000	215.398365	0.485000	2.000000	0.395254	0.000000
5400.000000	214.399101	0.450000	3.000000	0.420566	0.000000
5600.000000	213.603825	0.405000	3.000000	0.444180	0.000000
5800.000000	212.697970	0.500000	4.000000	0.479375	1.000000
6000.000000	212.108322	0.460000	4.000000	0.468750	2.000000
6200.000000	211.721285	0.435000	4.000000	0.461562	3.000000
6400.000000	211.397290	0.470000	4.000000	0.466680	4.000000
6600.000000	211.096122	0.390000	4.000000	0.460605	4.000000
6800.000000	210.535493	0.490000	4.000000	0.447227	4.000000
7000.000000	210.172273	0.490000	4.000000	0.455352	4.000000
7200.000000	209.895848	0.435000	4.000000	0.437324	4.000000
7400.000000	209.166523	0.460000	4.000000	0.441953	4.000000
7600.000000	208.761994	0.480000	4.000000	0.435449	4.000000
7800.000000	208.553968	0.400000	4.000000	0.434609	4.000000
8000.000000	208.214261	0.415000	4.000000	0.424746	4.000000
8200.000000	207.851556	0.425000	4.000000	0.426914	4.000000
8400.000000	207.576500	0.405000	4.000000	0.416270	4.000000
8600.000000	207.439269	0.410000	4.000000	0.421504	4.000000
8800.000000	207.011212	0.465000	4.000000	0.420879	4.000000
9000.000000	206.460252	0.515000	4.000000	0.420059	4.000000
9200.000000	205.907646	0.425000	4.000000	0.403867	4.000000
9400.000000	205.213134	0.440000	4.000000	0.393281	4.000000
9600.000000	205.201421	0.435000	4.000000	0.381602	4.000000
9800.000000	204.398397	0.400000	4.000000	0.383594	4.000000
10000.000000	204.144908	0.375000	4.000000	0.369395	4.000000
10200.000000	203.909979	0.410000	4.000000	0.374082	4.000000
10400.000000	203.550875	0.395000	4.000000	0.370410	4.000000
10600.000000	203.040104	0.435000	4.000000	0.365684	4.000000
10800.000000	202.911900	0.440000	4.000000	0.364668	4.000000
11000.000000	202.782289	0.415000	4.000000	0.358770	4.000000
11200.000000	202.765795	0.405000	4.000000	0.362500	4.000000
11400.000000	202.488598	0.395000	4.000000	0.353457	4.000000
11600.000000	202.538326	0.360000	4.000000	0.354238	4.000000
11800.000000	202.389790	0.490000	4.000000	0.357266	4.000000
12000.000000	202.224565	0.450000	4.000000	0.351055	4.000000
12200.000000	201.942533	0.385000	4.000000	0.345586	4.000000
12400.000000	201.865089	0.325000	4.000000	0.344258	4.000000
12600.000000	201.420441	0.485000	4.000000	0.341348	4.000000
12800.000000	201.036704	0.360000	4.000000	0.338203	4.000000
13000.000000	200.828403	0.425000	4.000000	0.330352	4.000000
13200.000000	200.722777	0.420000	4.000000	0.325215	4.000000
13400.000000	200.615998	0.410000	4.000000	0.326152	4.000000
13600.000000	200.005497	0.385000	4.000000	0.314785	4.000000
13800.000000	199.764469	0.460000	4.000000	0.315508	4.000000
